date,n1,n2,n3,n4,n5,n6
2011-11-16,38,2,45,35,20,51
2011-11-12,51,54,32,1,38,47
2011-11-09,49,3,51,20,22,14
2011-11-05,8,25,27,6,10,1
2011-11-03,25,51,26,42,28,33
2011-10-29,5,13,3,24,35,59
2011-10-26,24,46,39,57,26,9
2011-10-22,48,8,21,18,49,30
2011-10-19,43,50,8,7,39,11
2011-10-15,43,27,59,53,23,10
2011-10-13,41,35,36,16,52,54
2011-10-08,30,19,10,18,50,11
2011-10-05,35,2,20,43,5,16
2011-10-01,29,44,51,31,18,57
2011-09-28,25,37,15,6,48,55
2011-09-24,55,43,21,10,47,53
2011-09-21,51,59,47,10,60,53
2011-09-17,38,17,55,41,24,25
2011-09-14,16,4,18,27,5,51
2011-09-10,34,46,14,28,11,16
2011-09-08,35,29,37,13,6,30
2011-09-03,48,34,25,42,13,8
2011-08-31,27,29,1,50,52,38
2011-08-27,42,44,52,58,60,38
2011-08-24,39,26,49,1,4,43
2011-08-20,28,30,29,22,20,5
2011-08-17,54,7,19,12,45,9
2011-08-13,14,8,53,9,59,32
2011-08-11,7,12,25,26,32,39
2011-08-09,24,33,7,30,47,8
2011-08-06,10,47,54,7,43,32
2011-08-03,45,6,19,34,43,22
2011-07-30,44,11,5,46,36,3
2011-07-27,35,23,15,7,20,14
2011-07-23,19,51,54,8,52,46
2011-07-20,44,15,56,2,10,57
2011-07-16,16,25,3,51,23,56
2011-07-13,46,43,59,54,44,53
2011-07-09,56,32,8,22,43,53
2011-07-06,60,14,53,30,15,55
2011-07-02,2,56,11,5,59,13
2011-06-29,49,43,14,10,53,46
2011-06-25,20,2,43,15,5,57
2011-06-22,6,50,4,48,29,51
2011-06-18,24,50,1,44,13,40
2011-06-15,30,31,23,9,54,11
2011-06-11,18,57,58,40,47,54
2011-06-08,14,50,3,23,2,34
2011-06-04,13,8,27,1,3,52
2011-06-01,42,32,56,40,30,17
2011-05-28,33,42,12,31,11,52
2011-05-25,5,52,2,33,51,28
2011-05-21,33,10,15,38,31,28
2011-05-18,26,21,20,36,31,29
2011-05-14,59,8,60,44,40,30
2011-05-11,4,39,56,23,52,55
2011-05-07,36,14,30,38,11,8
2011-05-04,29,6,54,10,20,16
2011-04-30,8,29,36,35,14,40
2011-04-27,4,16,24,56,25,30
2011-04-23,50,59,18,31,60,12
2011-04-20,9,40,5,22,36,11
2011-04-16,58,55,14,2,60,48
2011-04-13,13,59,21,17,40,39
2011-04-09,60,26,19,58,13,40
2011-04-06,28,27,13,35,26,52
2011-04-02,2,52,39,59,48,1
2011-03-30,31,33,24,5,42,9
2011-03-26,51,5,27,4,15,17
2011-03-23,17,53,60,44,16,3
2011-03-19,47,58,4,41,20,30
2011-03-16,39,6,42,10,60,33
2011-03-12,13,50,46,24,60,19
2011-03-09,56,17,37,51,4,36
2011-03-05,41,53,18,4,36,26
2011-03-02,11,39,9,5,8,7
2011-02-26,10,41,14,22,53,42
2011-02-23,19,23,31,53,29,41
2011-02-19,39,54,58,46,4,6
2011-02-16,47,26,11,57,59,55
2011-02-12,27,15,30,52,26,2
2011-02-09,26,38,33,35,53,43
2011-02-05,23,5,54,39,38,51
2011-02-02,9,29,18,7,14,39
2011-01-29,2,51,17,44,43,23
2011-01-26,35,2,51,14,49,39
2011-01-22,48,27,34,52,46,5
2011-01-19,59,1,2,40,51,24
2011-01-15,3,40,8,53,51,36
2011-01-12,20,33,58,34,57,60
2011-01-08,9,11,24,3,51,36
2011-01-05,59,10,37,57,40,43
2010-12-31,34,10,37,50,43,2
2010-12-24,45,8,34,15,2,25
2010-12-22,32,19,23,57,9,29
2010-12-20,54,45,51,11,34,48
2010-12-18,13,26,25,10,28,45
2010-12-15,22,42,49,8,12,9
2010-12-11,15,1,48,37,39,52
2010-12-08,40,45,24,14,13,39
2010-12-04,26,21,39,5,18,59
2010-12-01,17,20,38,8,53,3
2010-11-27,16,49,55,20,10,26
2010-11-24,3,5,24,19,30,35
2010-11-20,49,22,59,29,32,54
2010-11-17,12,18,15,8,11,22
2010-11-13,20,27,49,5,23,39
2010-11-10,37,35,12,22,19,9
2010-11-06,12,49,60,32,30,40
2010-11-03,36,10,60,52,50,23
2010-10-30,35,31,4,30,54,28
2010-10-27,31,55,56,50,40,10
2010-10-23,32,55,34,31,50,40
2010-10-20,41,19,57,53,21,27
2010-10-16,17,15,48,42,35,47
2010-10-13,26,19,48,57,5,8
2010-10-09,46,5,58,37,14,43
2010-10-06,48,55,52,43,5,15
2010-10-02,34,37,41,53,2,33
2010-09-29,33,23,29,46,10,31
2010-09-25,5,43,28,15,11,50
2010-09-22,7,25,4,58,13,27
2010-09-18,47,51,10,50,30,25
2010-09-15,5,41,29,36,30,48
2010-09-11,3,53,45,11,34,26
2010-09-08,35,50,2,23,33,40
2010-09-04,36,54,3,31,15,48
2010-09-01,3,7,9,10,31,34
2010-08-28,30,17,38,14,5,35
2010-08-25,45,12,1,26,54,20
2010-08-21,32,35,22,9,56,11
2010-08-18,2,11,37,36,48,6
2010-08-14,14,4,26,35,29,13
2010-08-11,10,25,5,39,52,43
2010-08-07,55,30,33,9,7,38
2010-08-04,9,60,11,53,48,8
2010-07-31,36,32,55,49,60,28
2010-07-28,10,3,39,54,56,11
2010-07-24,58,28,23,39,16,19
2010-07-21,29,22,36,58,41,48
2010-07-17,39,54,36,37,60,49
2010-07-14,60,3,20,19,58,6
2010-07-10,27,17,57,26,55,20
2010-07-07,24,53,41,6,13,50
2010-07-03,12,54,2,32,14,9
2010-06-30,49,17,20,59,57,52
2010-06-26,25,22,11,16,33,3
2010-06-23,11,53,56,37,10,19
2010-06-19,50,21,14,35,31,27
2010-06-16,60,52,59,9,44,20
2010-06-12,8,49,43,17,40,19
2010-06-09,41,12,15,7,13,8
2010-06-05,54,10,2,43,21,35
2010-06-02,4,23,27,28,9,30
2010-05-29,12,5,10,20,29,37
2010-05-26,52,29,56,60,2,4
2010-05-22,44,18,45,31,26,20
2010-05-19,60,12,34,30,44,57
2010-05-15,59,28,47,60,22,5
2010-05-12,1,53,22,50,45,30
2010-05-08,33,52,55,47,38,50
2010-05-05,21,11,49,14,33,30
2010-04-30,2,3,12,37,47,16
2010-04-28,7,52,6,51,47,39
2010-04-24,7,25,24,36,5,47
2010-04-20,28,52,6,43,12,56
2010-04-17,41,3,10,30,57,13
2010-04-14,46,11,27,34,49,13
2010-04-10,14,1,11,23,42,48
2010-04-07,47,20,4,56,53,5
2010-04-03,43,28,56,20,52,51
2010-03-31,35,28,54,30,22,31
2010-03-27,20,52,60,42,54,40
2010-03-24,17,6,14,40,49,26
2010-03-20,5,51,31,53,47,17
2010-03-17,31,25,18,41,22,30
2010-03-13,48,47,7,4,42,51
2010-03-10,40,5,3,48,1,18
2010-03-06,53,46,5,6,34,55
2010-03-03,23,31,60,55,30,54
2010-02-27,46,9,43,41,49,29
2010-02-24,31,49,44,24,9,48
2010-02-20,28,58,41,40,51,20
2010-02-17,4,14,21,26,12,28
2010-02-13,55,46,34,17,19,6
2010-02-10,47,36,44,29,20,14
2010-02-06,1,25,4,14,21,51
2010-02-03,28,17,35,52,31,15
2010-01-30,46,54,8,36,7,23
2010-01-27,48,32,29,55,27,28
2010-01-23,23,39,52,31,6,33
2010-01-20,10,34,53,33,28,6
2010-01-16,19,3,60,33,24,16
2010-01-13,19,10,49,18,1,44
2010-01-09,35,47,60,44,30,3
2010-01-06,28,31,15,58,3,26
2010-01-02,40,9,37,58,50,60
2009-12-31,49,58,40,46,10,27
2009-12-26,36,42,37,9,28,31
2009-12-24,4,25,18,15,36,2
2009-12-22,21,28,19,25,50,43
2009-12-19,7,31,32,37,43,34
2009-12-16,5,4,19,39,6,23
2009-12-12,29,36,56,22,9,51
2009-12-09,16,5,58,39,10,21
2009-12-05,52,30,27,12,55,33
2009-12-02,49,34,36,1,16,8
2009-11-28,23,49,32,54,18,5
2009-11-25,47,19,17,12,32,55
2009-11-21,60,8,39,52,24,16
2009-11-18,24,8,14,5,29,30
2009-11-14,59,31,57,4,52,42
2009-11-11,7,42,56,29,33,3
2009-11-07,49,11,7,18,16,33
2009-11-04,19,4,39,14,45,60
2009-10-31,49,44,56,26,46,55
2009-10-28,18,4,59,54,56,17
2009-10-24,50,55,7,35,44,40
2009-10-21,44,54,41,45,34,10
2009-10-17,55,44,8,20,43,21
2009-10-14,27,35,40,1,6,17
2009-10-10,17,20,4,47,9,13
2009-10-07,44,41,18,50,37,30
2009-10-03,16,3,22,54,25,15
2009-09-30,47,36,29,59,3,6
2009-09-26,4,34,52,32,58,43
2009-09-23,4,43,25,9,33,32
2009-09-19,26,45,6,28,42,14
2009-09-16,11,52,14,6,29,8
2009-09-12,60,44,7,39,43,9
2009-09-09,36,20,54,9,3,53
2009-09-05,4,15,50,60,43,47
2009-09-02,43,1,50,28,57,15
2009-08-29,3,35,58,49,2,6
2009-08-26,41,19,10,28,55,56
2009-08-22,46,23,9,35,11,51
2009-08-19,7,12,57,6,24,10
2009-08-15,41,33,17,18,7,42
2009-08-12,55,44,38,35,14,31
2009-08-08,30,20,21,11,50,52
2009-08-05,21,48,33,1,56,17
2009-08-01,3,41,52,14,13,16
2009-07-29,27,23,36,10,21,16
2009-07-25,10,9,48,36,41,21
2009-07-22,27,49,38,23,41,19
2009-07-18,40,30,1,9,33,34
2009-07-15,27,56,17,24,49,23
2009-07-11,24,9,40,20,36,42
2009-07-08,37,48,32,2,18,20
2009-07-04,24,42,35,31,6,57
2009-07-01,36,46,28,32,3,20
2009-06-27,45,4,6,23,10,2
2009-06-24,39,50,21,12,40,55
2009-06-20,20,5,29,59,40,33
2009-06-17,20,28,42,23,10,43
2009-06-13,4,40,50,17,55,38
2009-06-10,9,56,29,52,16,24
2009-06-06,56,11,20,41,34,18
2009-06-03,36,12,37,24,5,28
2009-05-30,3,6,45,34,41,43
2009-05-27,11,6,18,5,37,9
2009-05-23,32,33,10,19,42,4
2009-05-20,53,39,16,21,10,12
2009-05-16,3,47,10,50,29,23
2009-05-13,44,36,32,8,34,25
2009-05-09,19,18,54,47,43,9
2009-05-06,5,37,43,7,53,54
2009-05-02,41,53,8,23,5,16
2009-04-29,28,17,49,53,45,9
2009-04-25,44,48,25,57,27,47
2009-04-22,14,10,56,25,4,28
2009-04-18,10,43,49,32,25,6
2009-04-15,7,57,19,43,39,30
2009-04-11,28,4,19,16,49,29
2009-04-08,49,1,22,47,44,50
2009-04-04,55,8,2,37,23,33
2009-04-01,9,41,56,23,21,30
2009-03-28,1,41,3,18,16,42
2009-03-25,37,1,14,45,12,16
2009-03-21,20,51,57,45,24,18
2009-03-18,15,49,59,4,3,2
2009-03-14,38,8,50,53,59,6
2009-03-11,27,32,15,12,20,16
2009-03-07,41,27,13,60,14,18
2009-03-04,15,42,27,53,34,49
2009-02-28,8,11,16,15,57,52
2009-02-25,57,11,7,43,10,13
2009-02-21,60,14,45,24,33,26
2009-02-18,34,17,52,5,2,29
2009-02-14,57,3,38,21,28,16
2009-02-11,1,2,10,48,14,8
2009-02-07,57,40,28,42,54,55
2009-02-04,31,6,5,17,50,1
2009-01-31,58,10,39,11,13,35
2009-01-28,25,14,51,48,60,21
2009-01-24,25,46,51,18,13,30
2009-01-21,12,10,36,54,44,57
2009-01-17,44,1,28,55,6,39
2009-01-14,52,2,20,27,36,24
2009-01-10,51,7,6,28,35,43
2009-01-07,56,36,4,44,46,53
2009-01-03,27,39,36,10,41,52
2008-12-31,51,60,1,11,59,26
2008-12-27,20,42,1,3,49,18
2008-12-24,39,6,5,33,54,17
2008-12-20,57,43,15,29,26,16
2008-12-17,49,33,24,40,46,43
2008-12-13,57,8,54,1,23,37
2008-12-10,17,5,16,24,20,32
2008-12-06,54,26,34,51,20,52
2008-12-03,20,18,47,44,60,33
2008-11-29,10,33,51,53,6,17
2008-11-26,52,40,29,27,28,10
2008-11-22,28,53,18,39,22,29
2008-11-19,45,40,2,7,18,8
2008-11-16,31,21,40,39,56,5
2008-11-12,42,55,51,43,2,33
2008-11-08,19,32,52,1,2,39
2008-11-05,29,47,4,13,46,23
2008-11-01,55,51,58,9,44,24
2008-10-29,31,51,19,6,56,34
2008-10-25,11,9,25,5,60,20
2008-10-22,49,8,28,3,26,17
2008-10-18,60,57,9,25,8,41
2008-10-15,7,9,20,41,12,19
2008-10-11,47,19,58,14,40,55
2008-10-08,30,2,52,21,11,35
2008-10-04,2,46,3,37,13,54
2008-10-01,34,12,1,6,58,29
2008-09-27,7,15,42,48,34,13
2008-09-24,49,27,4,36,52,37
2008-09-20,48,17,4,33,55,2
2008-09-17,6,41,4,37,12,42
2008-09-13,45,47,29,40,44,43
2008-09-10,10,27,23,5,16,26
2008-09-06,3,31,7,25,40,58
2008-09-03,15,37,27,12,60,51
2008-08-30,49,58,53,39,38,29
2008-08-27,44,36,55,58,18,24
2008-08-23,28,21,4,32,3,22
2008-08-20,18,53,55,32,9,17
2008-08-16,21,23,20,7,29,15
2008-08-13,4,54,55,36,16,31
2008-08-09,44,40,58,29,3,20
2008-08-06,26,25,42,60,5,24
2008-08-02,6,8,4,1,25,28
2008-07-30,8,38,60,41,15,9
2008-07-26,29,18,2,15,10,39
2008-07-23,38,21,27,2,29,32
2008-07-19,48,17,46,56,60,8
2008-07-16,47,27,13,31,34,58
2008-07-12,32,6,31,24,15,19
2008-07-09,4,56,18,59,46,16
2008-07-05,46,20,4,43,47,10
2008-07-02,38,45,40,16,32,22
2008-06-28,12,24,8,40,43,49
2008-06-25,8,41,53,1,58,34
2008-06-21,35,17,59,15,36,29
2008-06-18,28,3,39,51,31,15
2008-06-14,42,58,12,18,16,27
2008-06-11,17,3,9,32,7,5
2008-06-07,28,53,38,23,14,25
2008-06-04,33,9,37,40,41,30
2008-05-31,45,20,38,31,16,12
2008-05-28,53,36,8,30,1,47
2008-05-24,33,18,15,56,31,34
2008-05-21,4,14,33,44,11,45
2008-05-17,57,34,5,54,28,21
2008-05-14,56,35,50,13,41,25
2008-05-10,30,4,13,60,51,1
2008-05-07,18,14,57,30,13,5
2008-05-03,1,58,26,28,4,41
2008-04-30,36,39,57,58,5,30
2008-04-26,42,13,33,20,8,26
2008-04-23,37,17,15,50,48,59
2008-04-19,2,48,49,40,55,11
2008-04-16,16,53,2,4,21,36
2008-04-12,34,6,33,18,53,19
2008-04-09,57,3,5,11,33,39
2008-04-05,13,22,7,33,51,48
2008-04-02,50,32,25,34,57,24
2008-03-29,46,51,47,59,54,57
2008-03-26,35,5,32,21,33,12
2008-03-22,8,5,24,18,57,33
2008-03-19,55,48,1,39,16,42
2008-03-15,54,11,27,18,2,30
2008-03-12,49,24,39,34,55,14
2008-03-08,48,59,49,41,42,23
2008-03-05,44,1,51,52,41,23
2008-03-01,22,44,41,46,52,54
2008-02-27,33,11,3,58,14,5
2008-02-23,59,1,47,5,52,12
2008-02-20,44,8,59,54,4,27
2008-02-16,16,58,43,37,52,59
2008-02-13,47,41,58,3,23,12
2008-02-09,5,52,18,8,59,42
2008-02-06,11,15,10,27,60,53
2008-02-02,25,33,51,31,5,37
2008-01-30,6,23,19,50,37,49
2008-01-26,35,15,27,57,50,59
2008-01-23,22,41,2,30,21,52
2008-01-19,5,33,14,29,44,22
2008-01-16,7,45,18,13,29,31
2008-01-12,25,48,44,3,21,1
2008-01-09,25,39,45,51,8,14
2008-01-05,2,21,42,53,36,17
2007-12-31,17,34,7,36,39,19
2007-12-22,46,20,55,37,28,49
2007-12-19,16,49,35,39,57,27
2007-12-15,32,10,49,60,4,33
2007-12-12,36,26,31,23,19,33
2007-12-08,40,41,34,33,21,59
2007-12-05,52,37,46,8,22,36
2007-12-01,51,27,60,21,20,2
2007-11-28,53,39,2,50,57,15
2007-11-24,41,49,45,19,13,12
2007-11-21,35,41,1,57,9,48
2007-11-17,17,57,55,24,52,5
2007-11-14,43,25,41,60,31,3
2007-11-10,38,44,8,4,12,52
2007-11-07,23,59,25,47,46,30
2007-11-03,33,37,5,38,28,36
2007-10-31,20,28,49,26,17,48
2007-10-27,33,51,9,23,45,12
2007-10-24,30,14,59,36,46,38
2007-10-20,26,21,54,4,19,29
2007-10-17,49,46,1,29,6,28
2007-10-13,53,29,36,3,15,27
2007-10-10,42,17,26,38,28,22
2007-10-06,19,1,9,25,50,52
2007-10-03,9,41,53,37,36,51
2007-09-29,35,39,29,24,7,14
2007-09-26,4,15,57,55,2,16
2007-09-22,32,44,59,53,48,51
2007-09-19,17,5,32,55,20,41
2007-09-15,52,55,23,50,58,18
2007-09-12,32,34,16,13,56,33
2007-09-08,4,21,59,18,38,34
2007-09-05,58,18,54,36,53,20
2007-09-01,4,8,3,54,45,30
2007-08-29,21,57,46,22,7,43
2007-08-25,31,11,41,35,22,5
2007-08-22,2,55,41,43,57,58
2007-08-18,37,24,44,28,20,41
2007-08-15,56,53,51,26,18,3
2007-08-11,1,49,52,42,19,44
2007-08-08,15,22,19,35,34,16
2007-08-04,9,21,22,7,17,54
2007-08-01,34,54,20,39,60,24
2007-07-28,50,24,40,54,52,60
2007-07-25,44,12,32,21,1,34
2007-07-21,50,55,37,33,59,17
2007-07-18,13,4,31,33,47,51
2007-07-14,22,11,2,14,39,12
2007-07-11,21,37,60,32,52,53
2007-07-07,42,45,44,60,41,17
2007-07-04,43,24,4,51,18,56
2007-06-30,51,30,49,25,37,46
2007-06-27,29,10,46,35,42,28
2007-06-23,37,12,43,38,11,54
2007-06-20,13,15,20,31,28,36
2007-06-16,4,12,41,45,60,8
2007-06-13,53,18,36,58,24,20
2007-06-09,59,20,52,42,44,10
2007-06-06,57,59,4,34,19,30
2007-06-02,18,55,58,43,31,5
2007-05-30,17,5,58,1,47,10
2007-05-26,52,8,43,34,40,21
2007-05-23,29,42,50,51,49,27
2007-05-19,57,51,21,22,25,40
2007-05-16,54,26,28,19,44,10
2007-05-12,36,48,27,40,5,46
2007-05-09,27,23,41,51,26,53
2007-05-05,31,11,33,42,57,8
2007-05-02,32,53,50,57,15,24
2007-04-28,19,35,12,2,11,8
2007-04-25,42,40,60,59,47,39
2007-04-23,22,8,17,42,44,2
2007-04-18,46,47,12,57,34,9
2007-04-14,31,37,54,23,4,18
2007-04-11,17,59,49,2,3,50
2007-04-07,11,40,41,47,15,42
2007-04-04,42,3,24,53,43,31
2007-03-31,17,3,24,27,44,25
2007-03-28,51,30,59,46,38,56
2007-03-24,14,38,6,23,44,34
2007-03-21,16,32,35,58,19,3
2007-03-17,60,22,59,25,44,7
2007-03-14,8,39,9,58,44,49
2007-03-10,56,34,17,32,47,27
2007-03-07,42,14,44,27,15,48
2007-03-03,47,54,2,50,3,44
2007-02-28,40,48,19,20,14,52
2007-02-24,54,24,44,57,34,16
2007-02-17,34,48,1,16,45,36
2007-02-14,51,44,60,9,7,30
2007-02-10,36,51,32,22,38,7
2007-02-07,43,29,35,59,31,17
2007-02-03,11,18,8,7,37,43
2007-01-31,9,30,47,38,23,44
2007-01-27,16,5,24,34,6,60
2007-01-24,28,22,38,17,52,59
2007-01-20,58,31,57,49,33,18
2007-01-17,44,10,17,16,51,34
2007-01-13,53,58,57,16,46,13
2007-01-10,17,49,15,33,39,23
2007-01-06,3,50,48,42,32,33
2007-01-03,53,51,2,41,13,49
2006-12-31,32,50,14,47,10,56
2006-12-23,23,50,53,42,28,38
2006-12-21,24,56,30,51,42,18
2006-12-19,45,6,8,7,53,27
2006-12-16,28,21,40,10,41,47
2006-12-13,33,48,6,7,20,9
2006-12-09,15,26,59,1,54,51
2006-12-06,4,17,41,10,27,52
2006-12-02,4,29,38,36,33,42
2006-11-29,17,45,32,21,10,46
2006-11-25,51,5,58,46,25,19
2006-11-22,44,41,22,8,9,25
2006-11-18,34,43,29,30,10,52
2006-11-16,21,47,40,52,30,20
2006-11-11,57,50,9,39,37,19
2006-11-08,11,2,46,50,8,41
2006-11-04,23,15,56,46,9,45
2006-11-01,57,39,54,11,38,13
2006-10-28,32,57,28,41,10,47
2006-10-25,4,33,1,48,5,37
2006-10-21,25,23,11,5,30,15
2006-10-18,15,21,31,46,2,57
2006-10-14,8,27,2,32,56,49
2006-10-12,60,41,47,26,35,18
2006-10-07,30,2,48,60,43,36
2006-10-04,13,59,37,56,3,47
2006-09-30,10,57,28,3,5,21
2006-09-27,14,24,60,6,18,48
2006-09-23,20,22,11,19,48,42
2006-09-20,1,7,56,11,37,38
2006-09-16,29,35,19,57,42,55
2006-09-13,32,9,4,52,29,3
2006-09-09,58,48,52,47,12,6
2006-09-06,19,24,43,34,39,5
2006-09-02,14,36,21,29,26,48
2006-08-30,56,47,55,38,42,3
2006-08-26,3,51,33,15,16,57
2006-08-23,43,56,9,45,29,34
2006-08-19,42,35,19,9,14,58
2006-08-16,22,2,19,28,43,6
2006-08-12,60,39,31,38,6,50
2006-08-09,31,57,17,19,29,44
2006-08-05,37,31,20,60,34,54
2006-08-02,27,31,26,11,10,41
2006-07-29,35,5,37,8,48,17
2006-07-26,42,56,8,37,27,53
2006-07-22,43,21,48,8,4,32
2006-07-19,11,23,59,42,35,2
2006-07-15,10,54,8,39,56,13
2006-07-12,10,50,28,51,59,7
2006-07-08,36,54,52,25,29,26
2006-07-05,45,20,36,37,31,51
2006-07-01,14,50,23,2,28,56
2006-06-28,57,35,60,41,3,15
2006-06-24,27,12,46,47,42,50
2006-06-21,37,5,54,58,46,10
2006-06-17,3,5,51,29,34,14
2006-06-14,38,51,52,60,10,35
2006-06-10,29,46,34,47,21,14
2006-06-07,4,34,25,35,48,12
2006-06-03,20,21,50,29,12,16
2006-05-31,33,37,59,30,4,8
2006-05-27,22,50,32,38,54,15
2006-05-24,1,50,19,42,24,58
2006-05-21,3,37,50,16,30,10
2006-05-18,7,3,55,47,53,45
2006-05-13,40,47,1,48,9,26
2006-05-10,39,9,21,12,37,54
2006-05-06,56,29,17,13,27,40
2006-05-03,12,17,60,44,46,45
2006-04-29,59,39,30,31,48,45
2006-04-26,47,59,1,23,36,43
2006-04-22,17,32,12,18,58,30
2006-04-19,37,50,41,5,38,27
2006-04-15,59,30,47,12,4,49
2006-04-12,4,42,34,50,3,13
2006-04-08,59,35,43,22,7,2
2006-04-05,25,4,29,42,24,23
2006-04-01,4,25,38,50,20,7
2006-03-29,58,17,54,10,42,33
2006-03-25,24,47,4,57,48,50
2006-03-22,1,7,19,51,35,2
2006-03-18,21,23,56,12,3,2
2006-03-15,49,12,10,57,25,1
2006-03-11,21,57,37,16,43,2
2006-03-08,26,46,12,23,39,4
2006-03-04,54,20,32,60,25,23
2006-03-01,34,17,7,41,2,50
2006-02-25,26,39,27,24,59,36
2006-02-22,29,47,12,50,16,28
2006-02-18,6,45,56,49,35,10
2006-02-15,15,30,14,42,26,54
2006-02-11,33,12,24,38,11,32
2006-02-08,1,21,38,41,56,49
2006-02-04,40,42,15,52,38,9
2006-02-01,44,45,27,29,43,54
2006-01-28,12,26,31,43,46,2
2006-01-25,49,19,53,50,17,6
2006-01-21,35,6,15,23,28,16
2006-01-18,45,15,2,54,16,50
2006-01-14,33,56,18,57,43,5
2006-01-11,44,42,13,8,24,32
2006-01-07,14,42,12,4,59,30
2006-01-04,40,47,1,5,7,37
2005-12-31,49,9,3,35,37,41
2005-12-21,34,51,55,17,48,27
2005-12-17,16,6,52,1,36,50
2005-12-14,60,36,57,18,44,9
2005-12-10,14,3,23,55,36,25
2005-12-07,12,56,44,51,31,54
2005-12-03,39,47,37,53,32,3
2005-11-30,7,35,21,39,58,33
2005-11-26,28,35,41,17,6,23
2005-11-23,29,2,7,50,16,32
2005-11-19,54,36,12,4,33,24
2005-11-16,17,53,39,8,7,35
2005-11-12,46,1,26,16,12,54
2005-11-09,35,7,53,58,8,43
2005-11-05,10,5,41,59,40,33
2005-10-29,46,25,5,49,39,34
2005-10-26,29,22,44,9,6,4
2005-10-22,45,13,39,47,9,7
2005-10-19,51,8,1,43,10,36
2005-10-15,22,10,17,7,2,60
2005-10-08,3,15,11,13,26,43
2005-10-05,2,27,50,34,18,4
2005-10-01,30,24,2,45,11,27
2005-09-28,1,56,18,58,45,57
2005-09-24,13,1,31,23,60,48
2005-09-21,2,3,24,40,31,14
2005-09-19,53,17,50,23,54,48
2005-09-14,22,8,27,43,55,12
2005-09-10,53,35,32,31,28,51
2005-09-03,37,16,34,57,53,9
2005-08-31,13,40,21,52,6,11
2005-08-27,15,19,29,53,37,41
2005-08-24,14,50,41,17,31,13
2005-08-20,33,18,60,11,58,57
2005-08-17,55,16,58,8,37,50
2005-08-13,15,41,8,47,12,53
2005-08-10,6,60,7,31,49,51
2005-08-06,47,30,52,11,21,35
2005-08-03,59,48,1,7,41,14
2005-07-30,33,5,4,54,15,26
2005-07-27,33,27,5,56,12,43
2005-07-23,50,37,33,40,19,17
2005-07-20,43,40,12,11,2,35
2005-07-16,60,37,47,36,4,27
2005-07-13,59,21,53,25,58,38
2005-07-09,44,2,26,5,3,22
2005-07-06,37,21,54,3,58,25
2005-07-02,44,46,31,14,40,42
2005-06-29,25,10,48,8,32,55
2005-06-25,49,32,15,9,41,42
2005-06-22,50,42,30,25,43,24
2005-06-18,22,32,18,29,42,38
2005-06-15,6,40,37,11,20,34
2005-06-11,43,34,53,38,28,24
2005-06-08,27,16,39,51,9,38
2005-06-04,42,59,58,37,48,22
2005-06-01,7,41,24,40,49,27
